VM_Name,Cluster,Environment,Functional_Group,IP_Address,Location,Organization,OS,OS_Technical_Maintainer,Technology,THS deployment,THS_System covered by GRR,THS_System covered by Sysmon,THS_System logs shipped,UUID,Application,CICollection,Status
THS-P-DB-01,VLCVI-Prod-G11,Production,ICT Security Service,10.128.8.118,Valencia,OICT,RHEL 9,PSU HCO Hybrid Cloud Operations,VMware,Unknown,Unknown,Unknown,Unknown,501c796e-3ba5-c1a1-d1de-712c5a7c158a,Global Threat Hunting Solution,OICT-CSS-TH - PRD,Existing
SPIAS-P-IIS-02,VLCVI-Prod-HBA,Production,Unknown,10.128.0.84,Valencia,UNGSC,Windows Server 2022,Unknown,VMware,Completed,Yes,Yes,Yes,501c799d-aabc-0f2c-b083-f88adb168d25,iAviationSafety,iAviationSafety - PRD,Existing
MODLE-P-APP-05,BDSVI-Prod-HBA,Production,PSU HCO Hybrid Cloud Operations,10.128.0.13,Brindisi,UNGSC,RHEL 8,PSU HCO Hybrid Cloud Operations,VMware,Partial,Yes,"N/A, Linux",No,501c79ec-7c15-f053-84ff-66db36dfe459,CMS Moodle,CMS Moodle - PRD,Existing
MPM-P-APP-05,VLCVI-Prod-HBA,Production,OICT Application Rationalization,10.128.0.123,Valencia,OICT,RHEL 9,PSU HCO Hybrid Cloud Operations,VMware,Partial,Yes,"N/A, Linux",No,501c7a29-0437-5e74-f75c-59e09c5dbb7d,OICT Indico,Indico - PRD,Existing
SAGE-E-DB-02,BDSVI-Dev,Preproduction,Application Support (BSC-ASU-APP),10.128.200.49,Brindisi,DOS,RHEL 9,PSU HCO Hybrid Cloud Operations,VMware,Partial,Yes,"N/A, Linux",No,501c7af7-4121-68df-30a9-200a0196aca2,Unite Aware SAGE,Sage - PRE,Removed
COMMS-E-DB-01,BDSVI-Dev,Preproduction,Application Support (BSC-ASU-APP),10.128.200.41,Brindisi,DOS,RHEL 9,PSU HCO Hybrid Cloud Operations,VMware,Partial,Yes,"N/A, Linux",No,501c7b3f-607c-c993-5922-c2359919edb8,GLO - CommsNet Tracking (Unite Aware Suite),COMMSNET - PRE,Removed
VLCVI-D-NSXS-02,BDSVI-Dev,Development,NSU DCN Data Center Networking,10.129.100.8,Brindisi,UNGSC,Ubuntu,PSU HCO Hybrid Cloud Operations,VMware,Unknown,Unknown,Unknown,Unknown,501c7cf9-246f-9977-c405-d07b56e6f81a,VMWare Virtualization,NSX Manager - DEV,Existing
GEOCX-U-WEB-01,BDSVI-Dev,UAT,Application Support (BSC-ASU-APP),10.128.192.91,Brindisi,UNGSC,Windows Server 2022,PSU HCO Hybrid Cloud Operations,VMware,Partial,No,"N/A, Linux",No,501c7ddb-831d-628e-0a0a-59e4ad4735ab,UN Geoportal,GeoPortal - UAT,Removed
DPGSC-P-WEB-03,VLCVI-Prod-G11,Production,PSU HCO Hybrid Cloud Operations,10.128.0.107,Valencia,UNGSC,Ubuntu,PSU HCO Hybrid Cloud Operations,VMware,Unknown,Unknown,Unknown,Unknown,501c7e4f-0626-a758-e13f-878ff8d257d7,CMS Drupal,CMS Drupal - PRD,Existing
DPMIS-P-WEB-02,VLCVI-Prod-G11,Production,Unknown,10.128.0.231,Valencia,Unknown,RHEL 9,Unknown,VMware,Unknown,Unknown,Unknown,Unknown,501c7f3b-3aee-b7cc-11db-c5b50bc78071,Drupal Sites - UN MISSIONS,Drupal UN Missions - PRD,Existing
OBS-P-LS-04,VLCVI-Prod-G11,Production,IOS NSU - Network Support Unit,10.128.0.100,Valencia,UNLB,RHEL 9,PSU HCO Hybrid Cloud Operations,VMware,Unknown,Unknown,Unknown,Unknown,501c7f81-ea39-b079-fcd6-25af1849ca7a,Unite Observability,ELK Logstash - PRD,Removed
SCOM-P-SQL-02,VLCVI-Prod-G11,Production,Database Services Support (BSC-ASU-DS),"10.128.8.50, 10.128.8.54",Valencia,UNGSC,Windows Server 2022,PSU HCO Hybrid Cloud Operations,VMware,Partial,No,Yes,Yes,501c7fdc-d3c1-bb26-e1e5-79cd6d1483b2,Service Monitor SCOM,SCOM - PRD,Existing
THS-P-API-02,VLCVI-Prod-G11,Production,ICT Security Service,10.128.0.155,Valencia,OICT,RHEL 9,PSU HCO Hybrid Cloud Operations,VMware,Unknown,Unknown,Unknown,Unknown,501c8114-0f31-ecea-373b-f6de32d312f2,Global Threat Hunting Solution,OICT-CSS-TH - PRD,Existing
OCHA-G-SQL-01,BDSVI-Dev,Preproduction,OCHA,"10.128.200.25, 10.128.200.27",Brindisi,OCHA,Windows Server 2022,PSU HCO Hybrid Cloud Operations,VMware,Completed,Yes,Yes,Yes,501c8135-c3ce-8cdc-e21b-0d085e4a3f64,CBPF GMS (CHF & ERF),OCHA CBPF GMS - PRE,Existing
HLPF-P-APP-04,VLCVI-Prod-HBA,Production,PSU HCO Hybrid Cloud Operations,10.128.0.180,Valencia,DESA,RHEL 9,PSU HCO Hybrid Cloud Operations,VMware,Partial,Yes,"N/A, Linux",No,501c81c6-1144-c837-996d-6ff6cd7412a3,DESA Drupal,HLPF - PRD,Existing
SPCOM-P-SG-02,VLCVI-Prod-HBA,Production,UNGSC MEG Collaboration,10.128.0.34,Valencia,UNGSC,Windows Server 2022,PSU HCO Hybrid Cloud Operations,VMware,Completed,Yes,Yes,Yes,501c8291-4f97-2744-cbf2-7a5d00045ab1,Sharegate,Sharegate - PRD,Existing
OBS-P-INOD-02,VLCVI-Prod-G11,Production,PSU HCO Hybrid Cloud Operations,10.128.8.149,Valencia,UNGSC,RHEL 9,PSU HCO Hybrid Cloud Operations,VMware,Unknown,Unknown,Unknown,Unknown,501c82fa-1d63-1dfa-bc69-0a130d73d8f3,Unite Observability,ELK Elasticsearch - PRD,Existing
RDGSC-P-RDIS-01,VLCVI-Prod-G11,Production,PSU HCO Hybrid Cloud Operations,10.128.8.36,Valencia,UNGSC,RHEL 8,PSU HCO Hybrid Cloud Operations,VMware,Partial,Yes,"N/A, Linux",No,501c8394-0d26-75f1-6c88-788392cc5c92,Redis PaaS,Redis PaaS - PRD,Existing
OBS-P-INOD-01,VLCVI-Prod-G11,Production,PSU HCO Hybrid Cloud Operations,10.128.8.145,Valencia,UNGSC,RHEL 9,PSU HCO Hybrid Cloud Operations,VMware,Unknown,Unknown,Unknown,Unknown,501c853a-e866-e3dd-ea8f-4cb3f7275372,Unite Observability,ELK Elasticsearch - PRD,Existing
OIOS-P-SQL-01,VLCVI-Prod-G11,Unknown,Unknown,10.128.8.80,Valencia,Unknown,Windows Server 2022,Unknown,VMware,Completed,Yes,Yes,Yes,501c85a3-cea6-10b8-6332-b373c38edacf,Unknown,Unknown,Existing
